K_bot1,Success_bot1,Steps_bot1,Survival_bot1
0,True,30,0.0
0,True,24,0.0
0,True,42,0.0
0,True,5,0.0
0,True,8,0.0
0,True,42,0.0
0,True,6,0.0
0,True,20,0.0
0,True,23,0.0
0,True,11,0.0
0,True,32,0.0
0,True,38,0.0
0,True,33,0.0
0,True,41,0.0
0,True,29,0.0
0,True,48,0.0
0,True,15,0.0
0,True,17,0.0
0,True,20,0.0
0,True,15,0.0
0,True,22,0.0
0,True,21,0.0
0,True,13,0.0
0,True,40,0.0
0,True,10,0.0
0,True,25,0.0
0,True,13,0.0
0,True,28,0.0
0,True,1,0.0
0,True,23,0.0
0,True,29,0.0
0,True,15,0.0
0,True,30,0.0
0,True,2,0.0
0,True,13,0.0
0,True,29,0.0
0,True,15,0.0
0,True,39,0.0
0,True,25,0.0
0,True,24,0.0
0,True,32,0.0
0,True,26,0.0
0,True,33,0.0
0,True,18,0.0
0,True,13,0.0
0,True,25,0.0
0,True,15,0.0
0,True,19,0.0
0,True,13,0.0
0,True,17,0.0
0,True,27,0.0
0,True,12,0.0
0,True,3,0.0
0,True,29,0.0
0,True,23,0.0
0,True,27,0.0
0,True,28,0.0
0,True,17,0.0
0,True,18,0.0
0,True,33,0.0
0,True,16,0.0
0,True,37,0.0
0,True,24,0.0
0,True,22,0.0
0,True,9,0.0
0,True,27,0.0
0,True,37,0.0
0,True,38,0.0
0,True,26,0.0
0,True,37,0.0
0,True,28,0.0
0,True,19,0.0
0,True,36,0.0
0,True,29,0.0
0,True,29,0.0
0,True,12,0.0
0,True,8,0.0
0,True,12,0.0
0,True,38,0.0
0,True,24,0.0
0,True,10,0.0
0,True,27,0.0
0,True,22,0.0
0,True,16,0.0
0,True,14,0.0
0,True,24,0.0
0,True,27,0.0
0,True,11,0.0
0,True,41,0.0
0,True,9,0.0
0,True,15,0.0
0,True,12,0.0
0,True,49,0.0
0,True,41,0.0
0,True,15,0.0
0,True,11,0.0
0,True,17,0.0
0,True,22,0.0
0,True,33,0.0
0,True,29,0.0
0,True,15,0.0
0,True,1,0.0
0,True,17,0.0
0,True,21,0.0
0,True,28,0.0
0,True,19,0.0
0,True,32,0.0
0,True,22,0.0
0,True,6,0.0
0,True,16,0.0
0,True,11,0.0
0,True,6,0.0
0,True,7,0.0
0,True,28,0.0
0,True,26,0.0
0,True,20,0.0
0,True,30,0.0
0,True,46,0.0
0,True,18,0.0
0,True,7,0.0
0,True,13,0.0
0,True,8,0.0
0,True,41,0.0
0,True,16,0.0
0,True,32,0.0
0,True,30,0.0
0,True,17,0.0
0,True,25,0.0
0,True,23,0.0
0,True,28,0.0
0,True,15,0.0
0,True,26,0.0
0,True,22,0.0
0,True,27,0.0
0,True,17,0.0
0,True,9,0.0
0,True,30,0.0
0,True,13,0.0
0,True,41,0.0
0,True,47,0.0
0,True,15,0.0
0,True,1,0.0
0,True,22,0.0
0,True,22,0.0
0,True,17,0.0
0,True,16,0.0
0,True,12,0.0
0,True,12,0.0
0,True,20,0.0
0,True,12,0.0
0,True,16,0.0
0,True,22,0.0
0,True,36,0.0
0,True,18,0.0
0,True,26,0.0
0,True,31,0.0
0,True,26,0.0
0,True,14,0.0
0,True,38,0.0
0,True,18,0.0
0,True,28,0.0
0,True,19,0.0
0,True,20,0.0
0,True,6,0.0
0,True,26,0.0
0,True,29,0.0
0,True,24,0.0
0,True,8,0.0
0,True,23,0.0
0,True,27,0.0
0,True,14,0.0
0,True,21,0.0
0,True,27,0.0
0,True,26,0.0
0,True,16,0.0
0,True,9,0.0
0,True,37,0.0
0,True,25,0.0
0,True,31,0.0
0,True,2,0.0
0,True,13,0.0
0,True,37,0.0
0,True,36,0.0
0,True,21,0.0
0,True,37,0.0
0,True,36,0.0
0,True,32,0.0
0,True,28,0.0
0,True,26,0.0
0,True,27,0.0
0,True,14,0.0
0,True,23,0.0
0,True,35,0.0
0,True,30,0.0
0,True,41,0.0
0,True,18,0.0
0,True,6,0.0
0,True,17,0.0
0,True,22,0.0
0,True,28,0.0
0,True,19,0.0
0,True,20,0.0
0,True,29,0.0
0,True,6,0.0
0,True,20,0.0
0,True,13,0.0
0,True,25,0.0
0,True,39,0.0
0,True,14,0.0
0,True,12,0.0
0,True,28,0.0
0,True,32,0.0
0,True,28,0.0
0,True,32,0.0
0,True,37,0.0
0,True,14,0.0
0,True,32,0.0
0,True,18,0.0
0,True,22,0.0
0,True,32,0.0
0,True,25,0.0
0,True,27,0.0
0,True,16,0.0
0,True,19,0.0
0,True,19,0.0
0,True,31,0.0
0,True,40,0.0
0,True,13,0.0
0,True,25,0.0
0,True,36,0.0
0,True,35,0.0
0,True,10,0.0
0,True,26,0.0
0,True,5,0.0
0,True,20,0.0
0,True,41,0.0
0,True,13,0.0
0,True,29,0.0
0,True,7,0.0
0,True,13,0.0
0,True,22,0.0
0,True,14,0.0
0,True,44,0.0
0,True,6,0.0
0,True,39,0.0
0,True,13,0.0
0,True,15,0.0
0,True,7,0.0
0,True,38,0.0
0,True,21,1.0
2,True,24,-0.0
2,False,31,-0.0
2,True,11,-0.0
2,True,34,-0.0
2,True,20,-0.0
2,True,35,-0.0
2,True,22,-0.0
2,True,12,-0.0
2,True,27,-0.0
2,True,16,-0.0
2,True,40,-0.0
2,True,36,-0.0
2,True,23,-0.0
2,True,9,-0.0
2,True,13,-0.0
2,True,32,-0.0
2,True,25,-0.0
2,True,24,-0.0
2,True,18,-0.0
2,True,11,-0.0
2,True,41,-0.0
2,True,6,-0.0
2,True,20,-0.0
2,True,17,-0.0
2,True,35,-0.0
2,False,27,-0.0
2,True,21,-0.0
2,True,28,-0.0
2,True,15,-0.0
2,True,12,-0.0
2,True,5,-0.0
2,True,23,-0.0
2,True,14,-0.0
2,True,25,-0.0
2,True,33,-0.0
2,True,49,-0.0
2,True,28,-0.0
2,True,15,-0.0
2,True,37,-0.0
2,True,37,-0.0
2,True,21,-0.0
2,True,25,-0.0
2,True,1,-0.0
2,True,2,-0.0
2,False,41,-0.0
2,False,51,-0.0
2,True,15,-0.0
2,True,26,-0.0
2,True,4,-0.0
2,True,33,-0.0
2,True,36,-0.0
2,True,7,-0.0
2,False,33,-0.0
2,False,11,-0.0
2,True,28,-0.0
2,True,11,-0.0
2,True,23,-0.0
2,False,35,-0.0
2,True,9,-0.0
2,True,29,-0.0
2,True,29,-0.0
2,True,10,-0.0
2,True,10,-0.0
2,True,29,-0.0
2,True,16,-0.0
2,True,25,-0.0
2,True,4,-0.0
2,True,19,-0.0
2,True,36,-0.0
2,True,31,-0.0
2,True,5,-0.0
2,True,12,-0.0
2,True,16,-0.0
2,False,20,-0.0
2,True,41,-0.0
2,True,21,-0.0
2,True,32,-0.0
2,True,5,-0.0
2,True,33,-0.0
2,True,15,-0.0
2,True,35,-0.0
2,True,24,-0.0
2,True,4,-0.0
2,True,29,-0.0
2,False,0,-0.0
2,False,30,-0.0
2,True,3,-0.0
2,True,27,-0.0
2,True,18,-0.0
2,True,12,-0.0
2,True,31,-0.0
2,True,14,-0.0
2,False,45,-0.0
2,True,26,-0.0
2,True,9,-0.0
2,True,38,-0.0
2,True,26,-0.0
2,False,17,-0.0
2,True,23,-0.0
2,True,37,-0.0
2,True,7,-0.0
2,True,29,-0.0
2,True,19,-0.0
2,True,1,-0.0
2,True,26,-0.0
2,True,19,-0.0
2,True,16,-0.0
2,False,21,-0.0
2,True,38,-0.0
2,True,5,-0.0
2,True,16,-0.0
2,True,39,-0.0
2,True,24,-0.0
2,True,16,-0.0
2,True,23,-0.0
2,True,19,-0.0
2,True,29,-0.0
2,True,24,-0.0
2,True,28,-0.0
2,False,25,-0.0
2,True,23,-0.0
2,True,32,-0.0
2,True,2,-0.0
2,True,30,-0.0
2,False,16,-0.0
2,True,25,-0.0
2,True,14,-0.0
2,True,16,-0.0
2,True,8,-0.0
2,True,33,-0.0
2,False,22,-0.0
2,False,14,-0.0
2,True,20,-0.0
2,True,33,-0.0
2,True,11,-0.0
2,True,21,-0.0
2,False,21,-0.0
2,True,28,-0.0
2,True,25,-0.0
2,True,27,-0.0
2,True,13,-0.0
2,True,23,-0.0
2,True,34,-0.0
2,False,33,-0.0
2,True,21,-0.0
2,True,28,-0.0
2,True,39,-0.0
2,True,39,-0.0
2,True,17,-0.0
2,True,10,-0.0
2,True,22,-0.0
2,True,20,-0.0
2,True,26,-0.0
2,True,13,-0.0
2,False,16,-0.0
2,True,20,-0.0
2,True,28,-0.0
2,True,32,-0.0
2,True,7,-0.0
2,True,29,-0.0
2,True,21,-0.0
2,True,22,-0.0
2,True,44,-0.0
2,True,12,-0.0
2,True,32,-0.0
2,True,38,-0.0
2,True,22,-0.0
2,True,2,-0.0
2,True,18,-0.0
2,True,31,-0.0
2,False,0,-0.0
2,True,7,-0.0
2,True,21,-0.0
2,True,18,-0.0
2,True,49,-0.0
2,True,32,-0.0
2,True,19,-0.0
2,True,25,-0.0
2,True,38,-0.0
2,True,23,-0.0
2,False,12,-0.0
2,True,10,-0.0
2,True,22,-0.0
2,True,19,-0.0
2,True,33,-0.0
2,True,22,-0.0
2,True,23,-0.0
2,True,13,-0.0
2,True,23,-0.0
2,True,34,-0.0
2,True,13,-0.0
2,True,34,-0.0
2,False,21,-0.0
2,True,20,-0.0
2,True,17,-0.0
2,True,8,-0.0
2,True,7,-0.0
2,True,6,-0.0
2,True,31,-0.0
